id,title,category,location,experience,skills,description
16,Java Developer,Software Development,Hyderabad,Entry Level,"Java,Spring Boot,SQL,Git,REST API","Develop enterprise applications using Java and Spring Boot."
17,Database Developer,Database,Noida,Mid Level,"SQL,MySQL,PostgreSQL,Database Design,Python","Design, optimize and maintain relational databases."
18,DevOps Engineer,DevOps,Bangalore,Mid Level,"Linux,Docker,Kubernetes,AWS,Git,CI/CD","Automate software delivery and manage cloud infrastructure."
19,Data Engineer,Data Engineering,Hyderabad,Mid Level,"Python,SQL,Pandas,ETL,Apache Spark,AWS","Build data pipelines and infrastructure for large datasets."
20,Software Engineer,Software Development,Pune,Entry Level,"Python,Java,SQL,Git,Data Structures,Algorithms","Develop software applications and solve engineering problems."
21,NLP Engineer,Artificial Intelligence,Bangalore,Mid Level,"Python,NLP,Machine Learning,Deep Learning,PyTorch,Transformers","Develop natural language processing and language model applications."
22,Computer Vision Engineer,Artificial Intelligence,Hyderabad,Mid Level,"Python,OpenCV,Computer Vision,Deep Learning,PyTorch,NumPy","Build computer vision systems for image and video analysis."
23,Research Data Intern,Data Science,Delhi,Internship,"Python,Pandas,NumPy,Statistics,Machine Learning","Assist research teams with data processing and machine learning experiments."
24,API Developer,Backend Development,Noida,Entry Level,"Python,FastAPI,REST API,SQL,Git","Design and develop scalable REST APIs."
25,Junior Web Developer,Web Development,Pune,Entry Level,"HTML,CSS,JavaScript,Git,React","Create and maintain websites and frontend applications."
26,Cloud Data Engineer,Data Engineering,Bangalore,Mid Level,"Python,SQL,AWS,ETL,Apache Spark,Docker","Develop cloud-based data pipelines and processing systems."
27,Business Data Analyst,Data,Noida,Entry Level,"SQL,Excel,Power BI,Python,Statistics","Analyze business performance and communicate data-driven insights."
28,Python Automation Developer,Automation,Pune,Entry Level,"Python,Selenium,PyTest,Git,REST API","Create Python-based automation and testing systems."
29,Machine Learning Engineer,Machine Learning,Bangalore,Mid Level,"Python,Machine Learning,Scikit-learn,TensorFlow,NumPy,Git","Develop, train and deploy production machine learning models."
30,Software Testing Engineer,Testing,Hyderabad,Entry Level,"Python,Selenium,PyTest,SQL,Git","Design automated tests and validate software quality."
31,Data Visualization Analyst,Data,Delhi,Entry Level,"Python,Pandas,SQL,Power BI,Tableau,Data Visualization","Transform datasets into clear and useful visual reports."
32,AI Research Intern,Artificial Intelligence,Bangalore,Internship,"Python,Machine Learning,Deep Learning,NumPy,PyTorch","Assist researchers with experiments involving artificial intelligence."
33,React Developer,Web Development,Noida,Entry Level,"HTML,CSS,JavaScript,React,Git,REST API","Build modern frontend applications using React."
34,Node.js Developer,Backend Development,Bangalore,Entry Level,"JavaScript,Node.js,Express,SQL,REST API,Git","Develop backend applications and APIs using Node.js."
35,DevOps Intern,DevOps,Pune,Internship,"Linux,Docker,AWS,Git,CI/CD","Assist development teams with deployment and cloud automation."
36,SQL Data Analyst,Data,Hyderabad,Entry Level,"SQL,Excel,Python,Power BI,Statistics","Analyze structured datasets and prepare business reports."
37,Data Science Intern,Data Science,Bangalore,Internship,"Python,Pandas,NumPy,SQL,Statistics,Scikit-learn","Assist data science teams with analysis and predictive modeling."
38,Backend Python Engineer,Backend Development,Hyderabad,Mid Level,"Python,FastAPI,Django,SQL,REST API,Docker","Build scalable Python backend systems and APIs."
39,ML Operations Engineer,Machine Learning,Bangalore,Mid Level,"Python,Machine Learning,Docker,Kubernetes,AWS,Git","Deploy and monitor machine learning models in production."
40,ETL Developer,Data Engineering,Pune,Mid Level,"Python,SQL,ETL,PostgreSQL,Apache Spark,AWS","Develop data extraction, transformation and loading pipelines."
41,Data Quality Analyst,Data,Noida,Entry Level,"SQL,Python,Excel,Data Quality,Statistics","Validate datasets and identify data quality issues."
42,Cloud Engineer,Cloud Computing,Bangalore,Entry Level,"AWS,Linux,Docker,Python,Git,Networking","Build and maintain cloud infrastructure and services."
43,Python Software Engineer,Software Development,Hyderabad,Mid Level,"Python,SQL,Git,Data Structures,REST API,Docker","Develop reliable Python software and backend systems."
44,Analytics Intern,Data,Delhi,Internship,"SQL,Excel,Python,Pandas,Statistics","Support analytics teams with data preparation and reporting."
45,Deep Learning Engineer,Artificial Intelligence,Bangalore,Mid Level,"Python,Deep Learning,PyTorch,TensorFlow,NumPy,Machine Learning","Develop neural network models for AI applications."
46,Web Developer,Web Development,Pune,Entry Level,"HTML,CSS,JavaScript,React,Git","Develop responsive websites and web applications."
47,Database Analyst,Database,Noida,Entry Level,"SQL,MySQL,PostgreSQL,Excel,Python","Analyze database systems and support data operations."
48,QA Automation Engineer,Testing,Bangalore,Mid Level,"Python,Selenium,PyTest,API Testing,SQL,Git","Build automated testing frameworks and API test suites."
49,Software Development Intern,Software Development,Hyderabad,Internship,"Python,Java,Git,SQL,Data Structures","Assist software engineers with application development and testing."
50,Data Engineering Intern,Data Engineering,Bangalore,Internship,"Python,SQL,Pandas,ETL,AWS","Assist with data pipeline development and data processing."
